Name,Item_url,Country,Address,Email_url
SNS Foods Sp. z o.o.,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRiCO-DTL,POLAND,"{'Address1': 'Paw¿ówek 35', 'Address2': 'Kalisz', 'Address3': '62-800 KALISZ'}",https://agricodtl.pl/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRICO-INTERNATIONAL-DMCC,48800 DUBAI,"{'Address1': '1008 - Gold Crest Executive tower', 'Address2': 'Jumeirah Lakes Towers', 'Address3': 'Cluster C'}",https://www.agricointl.com/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRICULTURAL-COOPERATIVE-BACEX,SERBIA,"{'Address1': 'JNA 133A', 'Address2': '21420 BAC', 'Address3': 'SERBIA'}",http://www.bacex.rs/
PRO ECUADOR,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agricultural-Marketing-Centre-Ltd,,"{'Address1': 'Kuny Domokos u. 13-15', 'Address2': '1012 BUDAPEST', 'Address3': 'HUNGARY'}",https://www.amc.hu/
PRO ECUADOR,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agriculture-and-Agri-Food-Canada,ONTARIO,"{'Address1': '1341 Baseline Road', 'Address2': 'T5-3-127', 'Address3': 'K1A 0C5 OTTAWA'}",https://www.agr.gc.ca/
SABAROT,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRIFREEZ-2,,"{'Address1': 'Rue de la Gare 162', 'Address2': 'F-59 470 ESQUELBECQ', 'Address3': 'FRANCE'}",https://www.agrifreez.fr/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRIM-PTE-LTD,20152 MEDAN,"{'Address1': 'Jalan Sukabumi Lama, NO. 5A', 'Address2': 'Jalan Medan-Binjai, KM 11.70', 'Address3': 'Deli Serdang, Medan'}",https://www.agrimltd.com/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agrindo,BULGARIA,"{'Address1': 'Street Tsanko Diustabanov ¿12', 'Address2': '4150 RAKOVSKI', 'Address3': 'Bulgaria'}",https://agrindo.eu/en
SABAROT,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agristo,,"{'Address1': 'Ridder de Ghellinckstraat 9', 'Address2': 'B-8710 WIELSBEKE', 'Address3': 'BELGIUM'}",https://www.agristo.com/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agro-Blend-Group,ALBANIA,"{'Address1': 'Vore e Vjeter', 'Address2': 'Vore, Tirana', 'Address3': '1032 TIRANE'}",https://pastadiamond.com/
SNS Foods Sp. z o.o.,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGRO-QUEEN-SP-Z-O-O,,"{'Address1': 'ul. Podjazd 1/2', 'Address2': '81-805 SOPOT', 'Address3': 'POLAND'}",
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agrofusion,Mykolaiv Region,"{'Address1': 'Dorozhna street', 'Address2': '19', 'Address3': '57263 SHEVCHENKOVE VILLAGE'}",https://www.inagro.ua/
HELL ENERGY HUNGARY,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGROMAR-INDUSTRIAL,,"{'Address1': 'Av. Javier Prado Este 6210, Of 802', 'Address2': '15024 LIMA', 'Address3': 'PERU'}",https://www.agromarindustrial.com.pe/
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGROMONTE-ROSSOCILIEGINO-AGRICOLA-S-R-L,ITALY,"{'Address1': 'Zona Artigianale - C.da Coffa s.n.', 'Address2': '97012 CHIARAMONTE GULFI', 'Address3': 'SICILIA'}",http://www.agromonte.it/
PANARINI HUNGARIA,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agropole,NOUVELLE-AQUITAINE,"{'Address1': 'Estillac', 'Address2': 'BP 102', 'Address3': '47931 AGEN CEDEX 9'}",https://www.agropole.com/
ORIENCO SAS,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGROSPRINT,,"{'Address1': 'Kiss Antal u. 4.', 'Address2': '5300 KARCAG', 'Address3': 'HUNGARY'}",https://www.agrosprint.com/
SNS Foods Sp. z o.o.,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/AGROSUPER-3,,"{'Address1': 'CAMINO LA ESTRELLA', 'Address2': 'NA RANCAGUA', 'Address3': 'CHILE'}",
Pulmuone,https://www.sialparis.com/en/EXHIBITORS-2024/Exposant/Agrover,ITALY,"{'Address1': 'Via M. Garda, 1', 'Address2': '13034 LIGNANA (VC) VERCELLI', 'Address3': 'PIEMONTE'}",https://www.agrover.it/
